0.025871895,0.119047619,0.339242054,0.419405321,0.077218642,0.068103009,0.023637225,Prospеring
0.038633605,0.160364146,0.487163814,0.284820031,0.154685176,0.214966854,0.034778707,BH nixxxay
0.11575876,0.826330532,0.665647922,0.51486698,0.442736738,0.681157573,0.101802079,Raпger
0.448147104,0.133053221,0.128361858,0.084507042,0.437283094,0.198266191,0.275870091,Idk_Pi
0.142576328,0.577030812,0.902200489,0.834115806,0.190257809,0.275752167,0.099691761,Twitch.GryphonRB
0.075458688,0.128851541,0.2799511,0.183098592,0.192736738,0.169377868,0.068759814,Twitch Kayotica
0.098031498,0.191876751,0.260391198,0.115805947,0.459469509,0.393574707,0.104801389,FaZe Replays
0.09482498,0.129551821,0.149144254,0.128325509,0.279127417,0.14099949,0.104726614,NiteGamerYT 190k
0.211976351,0.082633053,0.108801956,0.059467919,0.378780367,0.151096379,0.159137927,ᴮᵒˢˢン
0.112737377,0.067927171,0.052567237,0.050078247,0.376425384,0.081438042,0.143343774,CIUPEA 144.HZ
0.018813709,0.030812325,0.376528117,0.287949922,0.028259792,0.031489036,0.015827386,曼巴精神のR6
0.264866333,0.254201681,0.262224939,0.131455399,0.536316311,0.457394187,0.290010884,DarkAssaSSin._
0.083053815,0.106442577,0.155867971,0.10172144,0.289910759,0.155277919,0.088060086,FLIZ_Mada YT
0.039154136,0.018207283,0.076405868,0.059467919,0.084531482,0.024885263,0.031771089,Τriρs
0.057666552,0.113445378,0.257334963,0.183098592,0.170674269,0.138628251,0.057518631,MachiTv
0.04215757,0.06232493,0.092298289,0.084507042,0.204263758,0.069377868,0.052201294,C_D_S_
0.031480032,0.012605042,0.273838631,0.0657277,0.052181458,0.049413565,0.029826937,Mₐₜₜzᵢₗₗₐツ
0.001229528,0.00070028,0.072127139,0.020344288,0.007932573,0.002371239,0.000722825,prOMancos
0.289675628,0.027310924,0.491442543,0.025039124,0.3006941,0.505354411,0.250670898,Scribell
0.132614967,0.131652661,0.131418093,0.148669797,0.243926624,0.108235594,0.113857479,Qx_9u انستا
0.047745706,0.053921569,0.241442543,0.143974961,0.102007933,0.080443651,0.045139206,adore johnnyy
0.027296301,0.021008403,0.259168704,0.120500782,0.046727814,0.040489546,0.031147963,R.e.L.y.T
